folder e2c7
folder_open e2c8
description e873
image e3f4
texture e421
view_in_ar efc9
lightbulb e90f
videocam e04b
category e72c
audio_file eb82
visibility e8f4
visibility_off e8f5
lock e899
lock_open e898
undo e166
redo e15a
save e161
add e145
delete e92e
content_copy e14d
content_paste e14f
edit f097
play_arrow e037
pause e034
stop e047
refresh e5d5
search ef7a
filter_alt ef4f
settings e8b8
close e5cd
check e668
expand_more e5cf
chevron_right e5cc
more_vert e5d4
warning f083
error f8b6
info e88e
bug_report e868
dashboard e871
view_quilt e8f1
terminal eb8e
bar_chart e26b
account_tree e97a
tune e429
open_with e89f
rotate_right e41a
open_in_full f1ce
grid_on e3ec
